time x y z T0
349890.0000000000 -1132915.1183509184 6092527.7644490739 1504632.2180723448 8.2771058088
349920.0000000000 -1132914.4538148292 6092527.0213987296 1504631.8704675597 9.9385119056
349950.0000000000 -1132916.0190814745 6092528.7734088246 1504632.9325149667 49.0681936393
349980.0000000000 -1132914.7184735530 6092528.2145054350 1504632.0342812010 36.4107234700
350010.0000000000 -1132915.5970537609 6092528.4881226206 1504632.7002894750 12.7864163544
350040.0000000000 -1132914.2231681363 6092527.9235495497 1504633.0946362845 7.3389592380
350070.0000000000 -1132914.9502002203 6092526.9270168524 1504631.9896185754 6.7017293768
350100.0000000000 -1132914.9557083088 6092527.8289031060 1504632.1913787324 5.4211486601
350130.0000000000 -1132914.9429299696 6092528.3631474013 1504632.4523528162 2.2408903406
350160.0000000000 -1132914.6756149346 6092528.8956784140 1504632.1028705796 3.2966154198
350190.0000000000 -1132913.6423906076 6092526.2036486873 1504631.8115596650 2.0844305947
350220.0000000000 -1132914.8555917980 6092527.8767869631 1504632.6000814745 6.2664013878
350250.0000000000 -1132913.9460196514 6092527.2484415332 1504632.7000967399 2.1106834284
350280.0000000000 -1132914.8657922307 6092526.9954985166 1504632.4331249772 8.7233918890
350310.0000000000 -1132914.7875219090 6092527.8182067461 1504632.6499052674 8.5807912196
350340.0000000000 -1132914.7136847735 6092527.1653004112 1504632.6257434164 7.8780656211
350370.0000000000 -1132914.6678649371 6092527.8868111558 1504632.8426444384 25.9119331159
350400.0000000000 -1132914.8256890732 6092528.2533257250 1504633.0661969206 15.6857495962
350430.0000000000 -1132914.5309164883 6092527.5757413572 1504632.8694641949 2.6746048031
350460.0000000000 -1132915.3513186087 6092526.1498734010 1504632.9850311296 28.8267045870
350490.0000000000 -1132916.2133126503 6092529.6975674070 1504633.8491083065 11.2703902605
350520.0000000000 -1132915.4453997912 6092529.7323471345 1504632.9824808354 2.7722064833
350550.0000000000 -1132915.1902844575 6092528.3519157646 1504632.7801800345 15.3221211537
350580.0000000000 -1132914.9589562828 6092527.9766516723 1504632.9745979470 32.9375726991
350610.0000000000 -1132914.5587536083 6092526.4452653928 1504632.6525220133 15.4039222232
350640.0000000000 -1132914.6352953913 6092526.7289605932 1504632.0916510830 4.0706318954
350670.0000000000 -1132915.7880078102 6092526.9791935878 1504633.0338243661 43.7536854925
350700.0000000000 -1132915.8716416685 6092529.0824056240 1504633.3137438041 10.0249377845
350730.0000000000 -1132915.1805132951 6092528.3517595399 1504631.4104137232 17.1618266233
350760.0000000000 -1132915.1762347349 6092526.4356213603 1504631.0472688389 16.5045511250
350790.0000000000 -1132914.6610238231 6092526.8800256010 1504632.3765468006 4.5269427259
350820.0000000000 -1132915.1743105280 6092527.4379354427 1504632.2967450216 17.0443534195
350850.0000000000 -1132915.0200323204 6092527.1161943581 1504632.1146982876 8.8219530679
350880.0000000000 -1132914.4860379316 6092524.8020579303 1504631.6737247873 8.1934687803
350910.0000000000 -1132915.2691601382 6092524.3130721981 1504631.6347312480 20.8928951578
350940.0000000000 -1132915.6630596954 6092527.9174390044 1504632.1646451065 20.0799642744
350970.0000000000 -1132915.2128086740 6092529.5724132322 1504632.8381209637 10.6295882619
351000.0000000000 -1132914.9236514030 6092527.3617212810 1504632.0660492436 13.5608568325
351030.0000000000 -1132915.2137746203 6092525.8916779300 1504631.6139079116 42.4713541820
351060.0000000000 -1132914.0516190571 6092527.2436107900 1504632.1113476518 4.5602485776
351090.0000000000 -1132914.8845537540 6092527.5984131750 1504633.1206775338 18.7589350539
351120.0000000000 -1132916.0566868817 6092529.9023620663 1504633.2217378546 6.4551348007
351150.0000000000 -1132914.6096489560 6092527.8301700549 1504631.7738502398 3.9621126311
351180.0000000000 -1132914.5281985167 6092526.1464478578 1504632.1039127437 1.4925170185
351210.0000000000 -1132913.7534199152 6092525.5428281073 1504632.3340083060 7.0770407165
351240.0000000000 -1132913.6153060719 6092526.1832961887 1504632.7102070102 10.3040366478
351270.0000000000 -1132913.9263536155 6092527.4346238654 1504633.2675507087 1.4279880139
351300.0000000000 -1132913.9257081985 6092526.2453857847 1504632.2646404959 1.8654660862
351330.0000000000 -1132914.8535742857 6092529.4885483664 1504633.1751416486 2.8701773463
351360.0000000000 -1132915.8461123386 6092529.4895051038 1504632.3411933740 12.8224115664
351390.0000000000 -1132914.8952246227 6092526.5329466993 1504632.3862564461 6.7023101912
351420.0000000000 -1132914.6752763158 6092528.2623846997 1504632.0443394410 0.1049168387
351450.0000000000 -1132915.6002059970 6092529.1656985544 1504632.7428730070 7.7295183481
351480.0000000000 -1132915.9093356400 6092527.7496027248 1504632.1048054888 1.7393271752
351510.0000000000 -1132914.9170456631 6092527.2148327976 1504632.3043883694 8.2441933471
351540.0000000000 -1132913.8003385954 6092526.9629540248 1504632.1608133116 23.6322445803
351570.0000000000 -1132914.6103837728 6092528.0055046324 1504632.3766087650 11.3129027629
351600.0000000000 -1132914.7245969982 6092528.4839326739 1504632.3087105486 4.7204460923
351630.0000000000 -1132915.5161779458 6092528.1081196824 1504632.8647003600 53.3225467585
351660.0000000000 -1132914.9533346889 6092527.5339581640 1504632.4399551137 5.2315112120
351690.0000000000 -1132916.1773747872 6092530.0583856963 1504633.5723785036 1.8818895103
351720.0000000000 -1132915.6323785721 6092527.5248920564 1504632.1807511682 14.7180844554
351750.0000000000 -1132914.2648281804 6092526.2893348765 1504632.1186225768 2.6814483226
351780.0000000000 -1132914.7898184229 6092525.8776408928 1504632.0146563048 7.4988361424
351810.0000000000 -1132915.3744082905 6092529.1679000659 1504632.8635642750 12.8646863133
351840.0000000000 -1132915.1237551556 6092527.7904688697 1504632.6905032713 27.1632448719
351870.0000000000 -1132914.7737214821 6092526.6110214330 1504632.8984357193 8.0686424846
351900.0000000000 -1132916.2731583552 6092529.8230712963 1504633.0028504268 5.0928435446
351930.0000000000 -1132915.3233825604 6092528.5281125670 1504632.2279993012 14.7065459120
351960.0000000000 -1132915.3464012872 6092528.5493634455 1504632.1454482195 7.2550108675
351990.0000000000 -1132914.0095224977 6092526.6072444795 1504631.6706890280 5.5614484339
352020.0000000000 -1132915.3878694561 6092528.6550849574 1504632.7413380228 17.9291335096
352050.0000000000 -1132914.3323586464 6092526.3411458721 1504632.1450885574 8.4071708578
352080.0000000000 -1132915.3162147424 6092527.9108290840 1504632.5840446730 4.2256355763
352110.0000000000 -1132914.0918760488 6092527.5447292030 1504632.6953341761 6.3402869503
352140.0000000000 -1132915.2431628786 6092527.6652188916 1504632.1052552559 7.3746289505
352170.0000000000 -1132915.6637779532 6092530.7393385153 1504633.6557114928 8.0845670958
352200.0000000000 -1132915.4661555542 6092531.7850339934 1504633.5605093483 4.4989744928
352230.0000000000 -1132914.1976209285 6092527.5938455276 1504632.6519319690 1.8240948870
352260.0000000000 -1132915.1832104044 6092526.8747561360 1504632.5314417204 10.1475435881
352290.0000000000 -1132914.7338027277 6092527.7118710345 1504632.3295838516 2.0155679727
352320.0000000000 -1132915.1095622100 6092528.2048708638 1504632.6198051425 5.2967868286
352350.0000000000 -1132914.8282949510 6092529.0823420268 1504632.6917145161 3.0999718367
352380.0000000000 -1132915.8840177529 6092528.8129244866 1504632.9489456967 7.0370307064
352410.0000000000 -1132915.0840010401 6092528.7836457267 1504632.7434683549 6.1252362920
352440.0000000000 -1132914.3250127551 6092524.8187935706 1504632.0891606652 9.7093309074
352470.0000000000 -1132915.1347068064 6092529.4577933652 1504633.6448599950 5.0683058221
352500.0000000000 -1132915.8321238428 6092528.8027076945 1504632.8497345643 5.1157144081
352530.0000000000 -1132915.5972250430 6092528.0467531374 1504633.2400506265 26.8397175397
352560.0000000000 -1132914.9013558852 6092528.9119243566 1504633.7610813244 5.2479925431
352590.0000000000 -1132915.0979384677 6092528.6525969710 1504633.3940310294 11.7340806090
352620.0000000000 -1132915.9036062569 6092528.7690028120 1504633.7107825503 18.9095094742
352650.0000000000 -1132915.7591341380 6092529.5158035196 1504633.9172517937 48.4662872268
352680.0000000000 -1132915.4998296991 6092529.8339093197 1504633.6744505339 5.1705973619
352710.0000000000 -1132914.5286945861 6092527.5252644867 1504632.7270990591 4.9783204055
352740.0000000000 -1132915.7222885920 6092529.7888146834 1504633.2235689138 20.1829925448
352770.0000000000 -1132915.7663551848 6092527.1126688225 1504633.2464513422 5.1768878282
352800.0000000000 -1132915.7307850609 6092529.3683943516 1504633.2252767291 19.8750472373
352830.0000000000 -1132915.6972352387 6092528.0721171591 1504633.5077574765 9.7774191710
352860.0000000000 -1132914.9027914891 6092527.1517956024 1504632.2175609826 3.7151962166
352890.0000000000 -1132916.0600546459 6092527.7680303017 1504633.3993235568 12.6798071048
352920.0000000000 -1132914.6407930534 6092526.9154250175 1504632.2845150537 25.4145189149
352950.0000000000 -1132915.7963156858 6092528.0554573257 1504633.3175231216 7.2182757105
352980.0000000000 -1132916.0894617445 6092529.3220466068 1504633.9177648688 6.1770730231
353010.0000000000 -1132915.1672304543 6092529.8042079378 1504633.2013963195 5.3487187423
353040.0000000000 -1132915.3540277109 6092527.6481458656 1504632.3112104614 8.1949387963
353070.0000000000 -1132915.0599967884 6092527.7894853698 1504632.3342244965 1.6112733521
353100.0000000000 -1132915.0737381366 6092526.4030000782 1504632.0800281817 5.8273095701
353130.0000000000 -1132915.0426257695 6092527.8793818438 1504632.5014491887 6.2515595847
353160.0000000000 -1132915.2404193135 6092526.2853001561 1504633.1735859909 8.6470879155
353190.0000000000 -1132915.3755920716 6092528.4441378098 1504632.9768768423 0.9082755136
353220.0000000000 -1132914.9980904621 6092526.8570479499 1504632.7298815488 2.3629930822
353250.0000000000 -1132915.9405568419 6092529.0471491376 1504633.4272259746 1.2593335356
353280.0000000000 -1132914.9516310086 6092527.3351089284 1504633.0058795516 2.9535298593
353310.0000000000 -1132915.3421981446 6092527.5867896331 1504632.9794993750 6.8341584466
353340.0000000000 -1132914.7650153365 6092526.5496160053 1504633.1625932048 1.1511515325
353370.0000000000 -1132915.8020040861 6092527.5961174909 1504633.5577883474 8.0514529562
